path,area,service,status,suggested_area,suggested_service,suggested_status
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/GA 1/Loler Ceritificates/2025.09.23 KM 29.md,,,,Safety,,active
Processed/circle_so_blog_membership-site.md,,,,Web Development,,draft
Processed/community_circle_so_c_product-updates_may-2023-update.md,,,,Technology,community.circle.so,active
Processed/www_philschmid_de_fine-tuning-lilt_SCUT-DLVCLab_lilt-roberta-en-base.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-86.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-03.md,,,,IT,Database Schedules,active
Archon/Knowledge/Unknown_Source_Code/index.md,,,,DevOps,Python Script for Context Bundling,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_getting-started-with-automl-and-aws-autogluon_.md,,,,Technology,AutoGluon,active
Processed/circle_so_customer-stories_whoggga_.md,,,,Tech,,draft
Archon/Knowledge/Community_Dynamous/pages/community_circle_so_c_events-new-1bd76d_.md,,,,Tech Community,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-64.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_few-shot-learning-gpt-neo_https_arxiv_org_abs_2005_14165_.md,,,,Technology,,inactive
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_habana-distributed-training.md,,,,AI,Tokenizer and Dataset Processing,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_how-to-set-up-a-ci-cd-pipeline-for-aws-lambda-with-github-actions-and-serverless.md,,,,DevOps,"AWS Lambda, GitHub Actions, Serverless Framework",active
Archon/Knowledge/Community_Dynamous/pages/circle_so_blog_membership-site.md,,,,Tech,circle.so,active
Processed/Archon/Knowledge/Community_Dynamous/pages/circle_so.md,,,,Technology,circle.so,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-10.md,,,,Business,,active
Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_abdusabri.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.02 Quality/5.00 ITPs/Electrical/TestPacks WIP/DB's/DB's fed from SWB-5/24-233 DB-36- Test pack/Inspection check sheet/QF 4.1.91 Cabling - DB-36.md,,,,Construction,Building Services,active
Processed/QF 4.1.91 Cabling - DB-107.md,,,,Construction,Cable Installation and Management,active
Processed/QF 4.1.97 Distribution Boards (DB-C2).md,,,,Construction,,complete
Processed/Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_adityatelange_hugo-PaperMod_stargazers.md,,,,DevOps,,active
Processed/Archon/Knowledge/Community_Dynamous/pages/circle_so_blog.md,,,,Marketing,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.02 Quality/5.00 ITPs/Electrical/TestPacks WIP/DB's/DB's fed from SWB-5/24-233 DB-33- Test pack/Inspection check sheet/QF 4.1.97 Distribution Boards (DB-33).md,,,,Construction,Tritax Park- Magnet Technology Factory,active
Processed/github_com_coleam00_tab_stars.md,,,,DevOps,"GitHub Pages, GitHub Actions, Docker, OpenTelemetry, Langchain, LiteLLM, Ollama, OpenAI API, OpenWebUI",active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect Arup/1.01 Drawings & Documents/2025.01.23/10.Detail Arrange/SHS-ARUP-XX-GF-DR-A-4021 Rev 01.md,,,,Architecture,,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_context-engineering-intro_forks.md,,,,Business,,active
Processed/4.2.10a - Social Value Plan Electrical.md,,,,Social Responsibility,,active
Processed/www_philschmid_de_gemini-langchain-cheatsheet_.md,,,,AI,"LangChain, Google Gemini API",active
Processed/Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_2-for-1-valentines-spanish-special_.md,,,,Language Learning,Spanish courses,active
Processed/4657-KAM-XX-00-IP-X-0096_DB- 75.md,,,,Construction,,active
Processed/Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_338-spanish-speaking-success-stories_.md,,,,Education,Spanish Language Learning,active
Processed/Archon/Knowledge/Community_Dynamous/pages/circle_so_ai-workflows.md,,,,Technology,AI workflows platform (Circle),active
README.md,,,,IT Automation,Docling Ingest Process,active
Processed/github_com_coleam00_ottomator-agents_actions.md,,,,DevOps,GitHub Actions,active
Processed/12345-KAM-XX-XX-FM-X-00002_ RESOURCE ASSESSMENT FORM.md,,,,Construction,,active
Processed/synergyspanish_com_aff_.md,,,,Marketing,,active
Processed/www_philschmid_de_fine-tuning-lilt.md,,,,AI,,active
Processed/www_philschmid_de_fine-tune-multimodal-llms-with-trl.md,,,,Technology,"Hugging Face TRL, Qwen, Llama-3.2-11B-Vision, Pixtral-12B, Molmo-7B-D-0924",active
Processed/QF 4.1.41 Mechanical Ventilation Commissioning and Handover Check Sheet.md,,,,Construction,,active
Processed/checkout_synergyspanish_com_s2s-video_ref_ema_coupon_NEWSTUDENT5_.md,,,,eCommerce,ThriveCart,active
Processed/www_philschmid_de_rl-with-llms-in-2025-dpo.md,,,,AI,,complete
Processed/membership_synergyspanish_com_login_.md,,,,Business,,active
Processed/synergyspanish_com_a-sure-fire-spanish-conversation-starter_.md,,,,Education,,active
Processed/checkout_synergyspanish_com_unlock-your-spanish-genius-7-days_ref_emb.md,,,,Marketing,ThriveCart,active
Processed/K&M Standard Form PCG.md,,,,Legal,,active
Processed/www_philschmid_de_openai-codex-cli_.md,,,,Technology,OpenAI Codex CLI,active
Processed/docs_github_com_en_get-started_writing-on-github_working-with-saved-replies_deleting-a-saved-reply.md,,,,DevOps,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_custom-inference-huggingface-sagemaker_.md,,,,AI,"Hugging Face Inference Toolkit, Amazon SageMaker",active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/GA 1/Loler Ceritificates/2025.09.11 KM 13.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-76.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect Arup/1.01 Drawings & Documents/2025.01.23/8.Ceilings/SHS-ARUP-XX-01-DR-A-7511 Rev 01.md,,,,Architecture,,tender issue
Processed/Archon/Knowledge/AI-Driven_Revit_MEP_Automation/index.md,,,,Architecture,"Revit, Dynamo",active
Processed/Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_unlock-your-spanish-genius-7-days_ref_fb.md,,,,Marketing,ThriveCart,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/90. Offsite Fabrication/Distribution Boards/KAM-XX-XX-DR-E-60004 - SCHNEIDER ACT9 24 WAY DOUBLE DISTRIBUTION BOARD.md,,,,Construction,Architectural Drawings,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_ottomator-agents_commit_7a2517769dbe62804434b6481a36eab62557af28.md,,,,DevOps,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/60. ELEC SKETCHES/2025.03.25 - Containment Drawing Reference/SHS-ARUP-XX-GF-DR-E-1551 Rev 02_High Level - Administration and Welfare Block - Level 00.md,,,,Architecture,,active
Processed/Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_Done-0_fuck-u-code_stargazers.md,,,,Software Development,,active
Processed/Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_shortcut-spanish-video_ref_ga.md,,,,e-commerce,,active
Archon/Knowledge/Synergyspanish/pages/membership_synergyspanish_com_topic_synergy-spanish-8x-session-5-step-2_.md,,,,Education,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_auto-scaling-sagemaker-huggingface_.md,,,,DevOps,"Amazon SageMaker, Hugging Face Transformers, FastAPI (implied from code snippets)",complete
Processed/Archon/Knowledge/Revitapidocs/pages/www_revitapidocs_com_2025_3_.md,,,,Architecture,Revit API,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_evaluate-llm-with-gemini.md,,,,AI,"Vertex AI, Google-Cloud-Containers, Hugging Face Hub",active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Consulant - ARUP/1.01 Drawings & Documents/25.01.23 ICT Dwgs/SHS-ARUP-XX-02-DR-YI-5511 Rev 01.md,,,,Architecture,,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_aral.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-06.md,,,,Design,,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_cloud-attention_issue-28_.md,,,,Technology,,active
Processed/QF 4.1.107 Lighting & Emerg Lighting DB-77.md,,,,Construction,Building Services - Lighting,active
Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_synergy-spanish-cds-fts_ref_ema.md,,,,Education,Online Language Course,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_inferentia2-mixtral-8x7b.md,,,,DevOps,"JSON processing, benchmarking",active
Processed/QF 4.1.15 Fire Alarm.md,,,,Building & Construction,Fire Alarm System,active
Processed/Archon/Knowledge/Revitapidocs/pages/www_revitapidocs_com_2025_.md,,,,Architecture,Revit API,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect Arup/1.01 Drawings & Documents/2025.01.23/12.Setting out RCP/SHS-ARUP-XX-GF-DR-A-4303 Rev 01.md,,,,Architecture,,active
Processed/2025.07.01 Systems to Design.md,,,,Architecture,,active
Processed/Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_shortcut-video-plus-cds_ref_yt.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.02 Quality/5.00 ITPs/Electrical/TestPacks WIP/Containment/Containment High Level Master copy/4657-KAM-XX-ZZ-IP-X-0001_Containment High Level .md,,,,Construction,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.05.29 - Submains Cable Schedule Report/SWB8.md,,,,Architecture,,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_inferentia2-embeddings.md,,,,DevOps,Python threading,active
ai-agent-mastery-main/7_Agent_Architecture/7.4-LangGraphAgentWithGuardrail/.claude/commands/execute-prp.md,,,,,,
Processed/docs_github_com_en_get-started_writing-on-github_getting-started-with-writing-and-formatting-on-github_basic-writing-and.md,,,,DevOps,,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_sagemaker-deepspeed.md,,,,AI,"Amazon SageMaker, DeepSpeed, Hugging Face Transformers",active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_andrewrk.md,,,,Business,,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_enterprise_startups.md,,,,Business,,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_github_site-policy_pull_582.md,,,,,,success
Processed/www_philschmid_de_gemini-cli-cheatsheet.md,,,,Technology,Google Gemini CLI,active
Processed/www_philschmid_de_optimize-sentence-transformers.md,,,,,,
Processed/github_com_coleam00_Archon_pull_647.md,,,,DevOps,,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_Archon_pull_705.md,,,,,,
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_gemini-cli-cheatsheet_.md,,,,Technology,Gemini CLI,active
Processed/www_philschmid_de_deploy-gptj-sagemaker_.md,,,,AI,"Hugging Face Transformers, Amazon SageMaker",active
Processed/github_com_features.md,,,,DevOps,,active
Processed/cli_github_com.md,,,,Software Development,GitHub CLI,active
Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_AUTOMATIC1111_stable-diffusion-webui.md,,,,AI,,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/docs_github_com_code-security_dependabot_dependabot-alerts_about-dependabot-alerts.md,,,,DevOps,GitHub Dependabot,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_deploy-gptj-sagemaker.md,,,,AI,"Amazon SageMaker, Hugging Face Transformers",active
Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_ottomator-agents_commit_8de2ea767143e369a4609b4e0d76c3bc4911956e.md,,,,,,
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_llm-evaluation_.md,,,,AI,LLM Evaluation and Retrieval Augmented Generation (RAG),active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_fine-tune-flan-t5-peft.md,,,,,,
Processed/Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/docs_github_com_en_get-started_writing-on-github_working-with-advanced-formatting_writing-mathematical-expressions.md,,,,DevOps,,active
Processed/github_com_features_discussions.md,,,,DevOps,GitHub Discussions,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_ottomator-agents_activity.md,,,,DevOps,,active
Processed/github_com_github_site-policy_pull_582_checks.md,,,,Software Development,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/GA 2/2025/07. July/WE 2025.07.11.md,,,,Business,,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/docs_github_com_billing_managing-billing-for-your-products_about-billing-for-github-models.md,,,,Business,,active
Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_49-2_.md,,,,Language Learning,,active
Archon/Knowledge/Community_Dynamous/pages/help_circle_so_p_audience_member-management_apply-and-manage-member-tags.md,,,,Community Management,Circle,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_ottomator-agents_commit_355c7039ca63fa26f6941f2b16a05f8cb4bd3022.md,,,,AI,Ag-Ui-Rag-Agent,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_customer-stories_team_industry_Retail_2B_2526_2Becommerce.md,,,,Business,,active
Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_beatles-beaten-in-spanish-again_.md,,,,Education,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_gptq-llama.md,,,,Technology,"GPTQ, Hugging Face Optimum, AutoGPTQ, Transformers, Text Generation Inference",active
Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_an-unknown-comprehension-killer_.md,,,,Language Learning,Spanish Ear Training,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/GA 2/2025/09. September/WE 2025.09.12.md,,,,Business,MEWP (Mobile Elevating Work Platform) operations and safety,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.02 Quality/5.00 ITPs/Electrical/TestPacks WIP/DB's/DB's fed from SWB-6/24-233 DB-88-Test pack/Inspection check sheet/QF 4.1.97 Distribution Boards (DB-88).md,,,,Construction,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/60. ELEC SKETCHES/2025.07.23 Goods In-Out Containment QA/4657-KAM-XX-00-DR-X-6609.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/61. Distribution/2025.09.22 - DB Schedules/DB-65.md,,,,Design,,active
Processed/Archon/Knowledge/Community_Dynamous/pages/circle_so_customer-stories_shambala.md,,,,Business,,complete
Processed/Archon/Knowledge/Pydantic_Documentation_-_Llms-Full_Txt/index.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect Arup/1.01 Drawings & Documents/2025.01.23/6.Wall Types/SHS-ARUP-XX-02-DR-A-7012 Rev 02.md,,,,Architecture,,archived
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Consulant - ARUP/1.01 Drawings & Documents/25.01.23 Combined Services/SHS-ARUP-XX-ZZ-DR-N-0610 Rev 01.md,,,,Architecture,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect Arup/1.01 Drawings & Documents/2025.01.23/11.Setting out Plan/SHS-ARUP-XX-01-DR-A-4406 Rev 02.md,,,,Architecture,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/KAM BIM Templates/Assessment Forms/12345-KAM-XX-XX-FM-X-00002_ RESOURCE ASSESSMENT FORM.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/63. Lighting/- DESIGN CHECKLIST - COPY FROM HERE -/63. Internal Lighting.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025 -Contracts/6.01 Contract Documents/Previous draft Sub-Contract & PSCA revisions/Draft Sub-Contract 08-05-25/Appendix 9.1 - Web-Contractor/WebContractor Guidance Document.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect - BDP/1.01 Drawings & Documents/2025.06.12/4657-BDP-XX-02-DR-A-3508_L02 Ceiling Setting Out Plan - Sheet 01.md,,,,Architecture,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/Tool Box Talks/3.00 Quality Toolbox Talks/Quality TBT No 3.md,,,,Business,,active
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/1.00 Site Safety/GA 1/Loler Ceritificates/2025.09.29 KM 53.md,,,,Safety,,active
Processed/Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_ottomator-agents_commit_c4ea72ae5a19995a04105a4dffc3aa43780ce846.md,,,,DevOps,"GitHub Actions, FastAPI, Docker, Pydantic, Copilot Autofix",active
Processed/synergyspanish_com_aci-vip_.md,,,,Education,,active
Processed/Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_github.md,,,,Business,,active
Processed/Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_64-more-spanish-comprehension-killers_.md,,,,Language Learning,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_hugginface-sagemaker-workshop.md,,,,Technology,"Hugging Face, Amazon SageMaker",active
Processed/Heat Recovery Systems.md,,,,Engineering,,active
Processed/QF 4.1.04 Distribution Boards Hand Over - DB-47.md,,,,Engineering,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_financial-summarizatio-huggingface-keras_scripts_train_py.md,,,,Technology,"Cloud Services, AI Models, GitHub Actions, DeepSpeed",active
Processed/QF 4.1.11 Access Control System.md,,,,IT Operations,Access Control System,active
Processed/github_com_coleam00_ottomator-agents_commit_c4ea72ae5a19995a04105a4dffc3aa43780ce846.md,,,,DevOps,"GitHub Actions, FastAPI, Docker, Pydantic, Supabase, OpenRouter API",active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_cloud-attention_.md,,,,Technology,,active
Processed/github_com_abdusabri.md,,,,Technology,GitHub,active
Processed/Archon/Knowledge/Synergyspanish/pages/membership_synergyspanish_com_topic_synergy-spanish-8x-session-1-step-1_.md,,,,Education,Synergy Spanish Membership,active
Processed/Company BIM Policy.md,,,,Construction,Building Information Modelling (BIM),active
Processed/checkout_synergyspanish_com_sg-ai-fluency-coach_.md,,,,Business,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_gptj-deepspeed-inference_.md,,,,AI,DeepSpeed,active
Processed/checkout_synergyspanish_com_shortcut-to-spanish-audio_ref_fb.md,,,,Marketing,Online Course Sales Page,active
Processed/www_philschmid_de_fine-tuning-lilt_.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_bert-text-classification-in-a-different-language_.md,,,,Technology,Natural Language Processing (NLP),active
Archon/Knowledge/Revitapidocs/pages/www_revitapidocs_com_2026_news.md,,,,,,
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_dynamous-community_context-engineering-hub.md,,,,Technology,GitHub,active
Processed/github_com_enterprise_contact_ref_cta_Contact_sales_ref_loc_hero_ref_page_2Fsolutions_industries_healthcare.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_cloud-attention_issue-0.md,,,,Technology,Newsletter Cloud Attention,active
Processed/docs_github_com_get-started_exploring-integrations_about-building-integrations.md,,,,,,
ai-agent-mastery-main/7_Agent_Architecture/7.7-SupervisorAgent/PRPs/EXAMPLE_sequential-research-outreach-agents.md,,,,,,
Processed/synergyspanish_com_5-keys-to-speaking-spanish-at-any-age_.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_huggingface-transformers-keras-tf.md,,,,,,
Archon/Knowledge/Community_Dynamous/pages/circle_so_event-hub_life-changing-community-powered-course.md,,,,Education,,active
Processed/checkout_synergyspanish_com_synergy-spanish-upgrade_coupon_NEWSTUDENT5_ref_fb.md,,,,Education,Spanish Language Course,active
Processed/www_philschmid_de_pytorch-distributed-training-transformers_.md,,,,Machine Learning,"HuggingFace Transformers, Amazon SageMaker",active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_cloud-attention_issue-29_.md,,,,Technology,,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_optimizing-transformers-with-optimum-gpu_.md,,,,,,
Archon/Knowledge/GitHub_-_coleam00_ottomator-agents/pages/github_com_coleam00_local-ai-packaged_stargazers.md,,,,,,
Processed/www_philschmid_de_huggingface-amazon-sagemaker-training-compiler.md,,,,DevOps,"Amazon SageMaker, Hugging Face Transformers, PyTorch, Tensorflow",active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Consulant - ARUP/1.01 Drawings & Documents/25.01.23 ICT Dwgs/SHS-ARUP-XX-ZZ-DR-YI-0004 Rev 01.md,,,,Architecture,,complete
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_cloud-attention_issue-13.md,,,,AI,,active
Processed/www_philschmid_de_deepspeed-lora-flash-attention_.md,,,,AI,"Hugging Face Transformers, Falcon-180B model training",active
Processed/QF 4.1.91 DB-56 Cabling.md,,,,Architecture,,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_pytorch-distributed-training-transformers_scripts_train_py.md,,,,DevOps,"AWS, SageMaker, Hugging Face, Docker, PyTorch, Transformers, Presidio",active
Processed/Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_synergy-spanish-with-shortcut-cds_ref_ema.md,,,,E-commerce,,active
Processed/www_philschmid_de_page_7.md,,,,Technology,,active
Archon/Knowledge/Unknown_Service_File/pages/Makefile.md,,,,DevOps,Makefile,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_fine-tune-flan-t5.md,,,,Technology,Hugging Face Transformers,active
Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/docs_github_com_en_enterprise-cloud_latest_enterprise-onboarding.md,,,,Business,,active
Processed/www_philschmid_de_agentic-pattern_.md,,,,,,
Processed/www_philschmid_de_philipp-schmid.md,,,,Technology,,active
Archon/Knowledge/Synergyspanish/pages/synergyspanish_com_100-commonly-used-spanish-words_.md,,,,,,
Processed/Archon/Knowledge/Community_Dynamous/pages/circle_so_affiliate-program.md,,,,Marketing,Affiliate Programs,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_mcp-introduction.md,,,,AI,,complete
Processed/www_philschmid_de_instruction-tune-llama-2.md,,,,AI,"AutoML, Language Models",
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Architect - BDP/1.01 Drawings & Documents/2025.06.12/4657-BDP-XX-XX-DR-A-3200_Typical Door Types.md,,,,Architecture,,complete
Processed/Archon/Knowledge/Unknown_Source_Code/pages/context_bundle_writer_py.md,,,,DevOps,context_bundle_writer.py,active
Processed/Archon/Knowledge/GitHub_-_dynamous-community_context-engineering-hub/pages/github_com_enterprise_premium-support.md,,,,,,
Processed/BIm/Tritex24-229/01-10-2025-eh/4.03 Health & Safety Files/3.00 Inductions/Quality Induction Sign Off Sheet/2025/08. August/2025.08.04 Quality Induction Sign Off.md,,,,HR,,active
Processed/www_philschmid_de_cloud-attention_issue-30_.md,,,,AI,,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_fine-tuning-layoutlm_.md,,,,AI,LayoutLM model,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_custom-inference-handler.md,,,,AI,Hugging Face Inference Endpoints,active
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/pages/www_philschmid_de_gemini-pdf-to-data.md,,,,Technology,Google Gemini API,Completed
